,rules,n,coverage,hit,delta,odd_avg
501,P_OVER25_ADJ >= q60 & MARKET_WEIGHT >= q50,224,0.156752974,0.78125,0.124846921,1.413214286
499,P_OVER25_ADJ >= q60 & MARKET_WEIGHT >= q60,164,0.11476557,0.780487805,0.124084726,1.423231707
496,P_OVER25_ADJ >= q60 & PICK_MARGIN <= q70,381,0.266620014,0.774278215,0.117875136,1.428364116
139,PICK_SCORE_TOTAL <= q70 & SCORE_LAM_H >= q80,79,0.055283415,0.772151899,0.11574882,1.438461538
481,P_OVER25_ADJ >= q60 & xG_Away >= q50,277,0.193841847,0.768953069,0.11254999,1.431709091
50,PICK_SCORE_TOTAL >= q60 & PICK_MARGIN <= q70,244,0.170748775,0.766393443,0.109990364,1.419959016
485,P_OVER25_ADJ >= q60 & SCORE_LAM_H <= q90,436,0.305108467,0.763761468,0.107358389,1.403172414
464,P_OVER25_ADJ >= q60 & P_OVER25_ADJ <= q70,143,0.100069979,0.762237762,0.105834683,1.494755245
51,PICK_SCORE_TOTAL >= q60 & PICK_MARGIN <= q50,138,0.096571029,0.760869565,0.104466486,1.42057971
500,P_OVER25_ADJ >= q60 & MARKET_WEIGHT >= q70,117,0.081875437,0.760683761,0.104280682,1.435128205
490,P_OVER25_ADJ >= q60 & SCORE_LAM_A >= q50,270,0.188943317,0.759259259,0.10285618,1.441343284
497,P_OVER25_ADJ >= q60 & PICK_MARGIN <= q80,452,0.316305108,0.758849558,0.102446478,1.403266667
495,P_OVER25_ADJ >= q60 & PICK_MARGIN <= q60,319,0.22323303,0.75862069,0.102217611,1.439621451
181,PICK_SCORE_TOTAL <= q80 & xG_Home >= q80,135,0.094471659,0.755555556,0.099152476,1.42141791
487,P_OVER25_ADJ >= q60 & SCORE_LAM_A >= q60,224,0.156752974,0.754464286,0.098061207,1.456936937
49,PICK_SCORE_TOTAL >= q60 & PICK_MARGIN <= q60,183,0.128061582,0.754098361,0.097695282,1.422185792
48,PICK_SCORE_TOTAL >= q60 & BestOfRank <= q50,101,0.070678796,0.752475248,0.096072168,1.432871287
57,PICK_SCORE_TOTAL <= q60 & P_OVER25_ADJ >= q60,181,0.126662001,0.751381215,0.094978136,1.497094972
476,P_OVER25_ADJ >= q60 & xG_Home <= q80,329,0.230230931,0.750759878,0.094356799,1.419664634
167,PICK_SCORE_TOTAL <= q80 & P_OVER25_ADJ >= q60,349,0.244226732,0.750716332,0.094313253,1.425878963
478,P_OVER25_ADJ >= q60 & xG_Away >= q60,220,0.153953814,0.75,0.093596921,1.447752294
44,PICK_SCORE_TOTAL >= q60 & SCORE_LAM_A >= q50,172,0.120363891,0.75,0.093596921,1.412209302
100,PICK_SCORE_TOTAL >= q70 & P_OVER25_ADJ <= q50,80,0.055983205,0.75,0.093596921,1.492
498,P_OVER25_ADJ >= q60 & PICK_MARGIN <= q50,259,0.181245626,0.749034749,0.09263167,1.454785992
37,PICK_SCORE_TOTAL >= q60 & xG_Away >= q50,191,0.133659902,0.748691099,0.09228802,1.409057592
580,P_OVER25_ADJ <= q80 & SCORE_LAM_H >= q80,91,0.063680896,0.747252747,0.090849668,1.41967033
471,P_OVER25_ADJ >= q60 & P_BTTSY_ADJ >= q50,351,0.245626312,0.746438746,0.090035667,1.421919771
43,PICK_SCORE_TOTAL >= q60 & SCORE_LAM_A >= q60,134,0.093771868,0.746268657,0.089865578,1.404402985
494,P_OVER25_ADJ >= q60 & BestOfRank <= q50,189,0.132260322,0.746031746,0.089628667,1.463743316
491,P_OVER25_ADJ >= q60 & BestOfRank <= q60,251,0.175647306,0.74501992,0.088616841,1.450080321
