Date,League,HomeTeam,AwayTeam,RES_FTHG,RES_FTAG
2025-12-21,Australia - A League,Wellington Phoenix,Central Coast Mariners,3.0,1.0
2025-12-21,Netherlands - Eerste,Den Bosch,Vitesse,2.0,0.0
2025-12-21,Netherlands - Eredivisie,Utrecht,PSV,1.0,2.0
2025-12-21,Italy - Serie A,Cagliari,Pisa,2.0,2.0
2025-12-21,Turkey - Super Lig,Alanyaspor,Karagumruk,2.0,0.0
2025-12-21,Serbia - Super Liga,OFK Beograd,TSC,0.0,1.0
2025-12-21,Belgium - Jupiler Pro League,Club Brugge,Gent,2.0,1.0
2025-12-21,Germany - 2 Bundesliga,Braunschweig,Schalke,2.0,1.0
2025-12-21,Germany - 2 Bundesliga,Preussen Munster,Elversberg,1.0,1.0
2025-12-21,Germany - 2 Bundesliga,Nurnberg,Hannover,2.0,1.0
2025-12-21,Spain - La Liga,Girona,Ath Madrid,0.0,3.0
2025-12-21,Spain - La Liga2,Malaga,Almeria,2.0,1.0
2025-12-21,Switzerland - Super League,Lausanne,FC Luzern,0.0,4.0
2025-12-21,Netherlands - Eerste,Helmond,Willem II,2.0,2.0
2025-12-21,Netherlands - Eredivisie,Feyenoord,Twente,1.0,1.0
2025-12-21,Netherlands - Eredivisie,Go Ahead Eagles,Groningen,1.0,1.0
2025-12-21,Scotland - Premiership,Hearts,Rangers,2.0,1.0
2025-12-21,Croatia - HNL,Hajduk Split,Vukovar,2.0,1.0
2025-12-21,Italy - Serie A,Sassuolo,Torino,0.0,1.0
2025-12-21,Italy - Serie B,Entella,Sudtirol,1.0,1.0
2025-12-21,Serbia - Super Liga,Sp Subotica,Cukaricki,1.0,3.0
2025-12-21,Germany - Bundesliga,Mainz,St Pauli,0.0,0.0
2025-12-21,Belgium - Jupiler Pro League,St Truiden,KV Mechelen,1.0,0.0
2025-12-21,Scotland - Premiership,Celtic,Aberdeen,3.0,1.0
2025-12-21,Spain - La Liga,Villarreal,Barcelona,0.0,2.0
2025-12-21,Spain - La Liga2,Mirandes,Cordoba,1.0,2.0
2025-12-21,Spain - La Liga2,R Sociedad B,Ceuta,1.0,3.0
2025-12-21,Greece - Super League,AEL Larissa,Atromitos,0.0,0.0
2025-12-21,Portugal - Liga,AVS,Nacional,2.0,2.0
2025-12-21,Switzerland - Super League,Grasshoppers,St Gallen,1.0,2.0
2025-12-21,Switzerland - Super League,FC Lugano,Young Boys,3.0,0.0
2025-12-21,Netherlands - Eredivisie,Sittard,AZ Alkmaar,4.0,3.0
2025-12-21,Netherlands - Eredivisie,Volendam,Sparta Rotterdam,0.0,1.0
2025-12-21,Serbia - Super Liga,Radnik,Novi Pazar,1.0,0.0
2025-12-21,Italy - Serie B,Mantova,Empoli,0.0,1.0
2025-12-21,England - Premier League,Aston Villa,Man Utd,2.0,1.0
2025-12-21,Germany - Bundesliga,Heidenheim,Bayern Munich,0.0,4.0
2025-12-21,Croatia - HNL,Rijeka,Gorica,1.0,0.0
2025-12-21,Cyprus - First Division,Digenis Ypsonas,Apollon,0.0,1.0
2025-12-21,Cyprus - First Division,Paphos,Apoel,,
2025-12-21,Italy - Serie A,Fiorentina,Udinese,5.0,1.0
2025-12-21,Turkey - Super Lig,Goztep,Samsunspor,2.0,0.0
2025-12-21,Turkey - Super Lig,Galatasaray,Kasimpasa,3.0,0.0
2025-12-21,Belgium - Jupiler Pro League,Antwerp,Anderlecht,2.0,2.0
2025-12-21,Greece - Super League,PAOK,Panathinaikos,2.0,0.0
2025-12-21,Spain - La Liga,Elche,Rayo Vallecano,4.0,0.0
2025-12-21,Spain - La Liga2,Granada,Albacete,1.0,1.0
2025-12-21,Spain - La Liga2,Burgos CF,Zaragoza,1.0,1.0
2025-12-21,Portugal - Liga,Tondela,Casa Pia,1.0,2.0
2025-12-21,Belgium - Jupiler Pro League,Leuven,Cercle Brugge,0.0,2.0
2025-12-21,Greece - Super League,AEK,OFI Crete,2.0,1.0
2025-12-21,Italy - Serie A,Genoa,Atalanta,0.0,1.0
2025-12-21,Spain - La Liga,Betis,Getafe,4.0,0.0
2025-12-21,Spain - La Liga2,Cadiz,Castellon,2.0,0.0
2025-12-21,Portugal - Liga,Santa Clara,Arouca,0.0,0.0
2025-12-21,Ecuador - LigaPro,LDU Quito,U Catolica,2.0,0.0
2025-12-21,Ecuador - LigaPro,Independiente Valle,Barcelona SC,1.0,0.0
2025-12-21,Ecuador - LigaPro,Orense,Libertad FC,3.0,2.0
